representacion_pais_descripcion;representacion_pais_iso;representacion_descripcion;representacion_circunscripcion;representacion_ciudad_descripcion;representacion_provincia_descripcion;representacion_direccion;representacion_email;representacion_pagina_web;representacion_horario_atencion;representacion_cuidad_codigo_tel;representacion_telefono;representacion_fax;representacion_telefax;;;;;
Rusia;RU;Embajada de RUSIA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Rodriguez Peña 1741;argentina@mid.ru;http://www.argentina.mid.ru/;;11;4813-1552//4813-8039;4815-6293;;;;;;
Rusia;RU;Sección Consular de RUSIA en Ciudad Autónoma de Buenos Aires;Argentina Y Paraguay;Ciudad Autónoma de Buenos Aires;Buenos Aires;Guido 1677;;;;11;4812-1794;4812-1794;;;;;;
Samoa Occidental;WS;Consulado Honorario  de SAMOA OCCIDENTAL en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Tucumán 540 - Piso 10º Suite H;consuladogeneralsamoa@fibertel.com.ar;;;11;4325-9648;4325-9648;;;;;;
San Marino;SM;Consulado General Honorario de SAN MARINO en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Paraná 791 - Piso 6º ;cons.gral.ba@sanmarino.int.ar;www.sanmarino.int.ar;;11;4374-9057;4374-9057;;;;;;
San Marino;SM;Consulado Honorario  de SAN MARINO en Salta;    VACANTE;Salta;Salta;;;;;387;;;;;;;;
San Marino;SM;Consulado Honorario de SAN MARINO en Mendoza;  Provincia de Mendoza  ;Mendoza;Mendoza;Angel Furlotti 451;cons.mendoza@gov.sm;;;261;;;4972354;;;;;
San Marino;SM;Consulado Honorario de SAN MARINO en Pergamino;  Provincia de Buenos Aires  ;Pergamino;Buenos Aires;San Nicolás 555 2do Piso Ofic. D y E;leoagostini@bbt11.com.ar;;;2477;431112;435204;;;;;;
San Marino;SM;Embajada de SAN MARINO;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;;cons.gral.ba@sanmarino.int.ar;;;11;;;;;;;;
Serbia;RS;Consulado Honorario  de SERBIA en Martínez;;Martínez;Buenos Aires;Lima 1640;;;;11;4836-0537;;;;;;;
Serbia;RS;Consulado Honorario  de SERBIA en Presidente Roque Sáenz Peña;Provincias de Chaco, Formosa, Tucuman, Salta, MIsiones, Santiago del Estero y Corrientes;Presidente Roque Sáenz Peña;Chaco;Pringles 714;;;;3732;421-330;;;;;;;
Serbia;RS;Embajada de SERBIA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;M.T.de Alvear 1705;e.serbia@fibertel.com.ar//embajadaserbia@fibertel.com.ar;;;11;4813-3445;4812-9133;;;;;;
Serbia;RS;Sección Consular de SERBIA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;;;;;11;4811-2860//4812-9133//4813-3445//4813-3446;4812-1070;;;;;;
Singapur;SG;Consulado General Honorario de SINGAPUR en Ciudad Autónoma de Buenos Aires;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Miñones 2177;;;;11;4896-8571;;;;;;;
Siria;SY;Consulado Honorario  de SIRIA en Córdoba;  ;Córdoba;Córdoba;Chacabuco Nº 295 Piso 1 Depto. A Córdoba;;;;351;421-4242;;;;;;;
Siria;SY;Consulado Honorario  de SIRIA en Mendoza;;Mendoza;Mendoza;San Martín 1786 - Piso 1º Oficina ;;;;261;423-3834;423-3834;;;;;;
Siria;SY;Consulado Honorario  de SIRIA en Paraná;;Paraná;Entre Rios;Laprida 23;;;;343;423-0153;423-0153;;;;;;
Siria;SY;Consulado Honorario  de SIRIA en Rosario;  ;Rosario;Santa Fe;Mendoza Nº 2920 Rosario Santa Fé;;;;341;436-0405;436-0317;;;;;;
Siria;SY;Consulado Honorario  de SIRIA en San Miguel de Tucumán;;San Miguel de Tucumán;Tucuman;San Juan 746;;;;381;421-4011;421-4011;;;;;;
Siria;SY;Consulado Honorario  de SIRIA en Santiago del Estero;;Santiago del Estero;Santiago del Estero;Av. Moreno Sud 567;;;;385;421-8456;421-8456;;;;;;
Siria;SY;Embajada de SIRIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Callao 956;embajadasiria@speedy.com.ar;;;11;4813-2113//4813-5438;4814-3211;;;;;;
Siria;SY;Sección Consular de SIRIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Callao 956;;;;11;4813-2113;4813-2113;;;;;;
Soberana Orden de Malta;MT;Consulado Honorario  de SOBERANA ORDEN DE MALTA en Ciudad Autónoma de Buenos Aires;  Todo el territorio de la República Argentina  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 684, 7º Piso;maltaconsul.buenosaires@gov.mt;;;11;4325-0756/0778/0741;4328-4854;;;;;;
Soberana Orden de Malta;MT;Embajada de SOBERANA ORDEN DE MALTA;          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Alejandro M. Aguado 2487 Piso 1;argentinaembassy@orderofmalta.int;;;11;4807-5631;4811-0979;;;;;;
Sri Lanka;LK;Consulado Honorario  de SRI LANKA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Viamonte 1145 Piso 7º;;;;11;4372-6133;;;;;;;
Sudáfrica;ZA;Consulado Honorario  de SUDÁFRICA en Comodoro Rivadavia;;Comodoro Rivadavia;Chubut;Casilla de Correo 50;;;;297;455-8692;455-8692;;;;;;
Sudáfrica;ZA;Embajada de SUDÁFRICA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Marcelo T. de Alvear 590 - Piso 8º;embajador.argentina@dirco.gov.za;http://www.sudafrica.org.ar/;;11;4317-2900;4311-8993;;;;;;
Sudáfrica;ZA;Sección Consular de SUDÁFRICA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Marcelo T. de Alvear 590 - Piso 8º;saembarg.dha@redynet.com.ar;http://www.sudafrica.org.ar/;;11;4317-2900//4317-2963;4317-2963;;;;;;
Suecia;SE;Consulado Honorario  de SUECIA en Córdoba;  Provincias de Córdoba, La Rioja, Mendoza, San Juan, San Luis y Santa Fe  ;Córdoba;Córdoba;Bv. Chacabuco 1160 Piso 10 Córdoba;mbperez@arcor.com;;;351;420-8254;420-8336;;;;;;
Suecia;SE;Consulado Honorario  de SUECIA en Oberá;  Provincias de Corrientes, Chaco, Formosa y Misiones  ;Oberá;Misiones;La Rioja 355 Oberá Misiones;merasmie@gmail.com;;;3755;421-728;;;;;;;
Suecia;SE;Embajada de SUECIA;                    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Olga Cossettini 731 Piso 1 Edificio Porteño Plaza 1;ambassaden.buenos-aires@gov.se;http://www.swedenabroad.com/es-ES/Embassies/Buenos-Aires/;Lunes a Jueves a 8 a 17 hs (con una pausa entre 13:00 y 13:30 hs.) Viernes de 8 a 13:45 hs. ;11;4319 - 5100;4319 - 5199;;;;;;
Suecia;SE;Sección Consular de SUECIA en Ciudad Autónoma de Buenos Aires; Capital Federal y las Provincias de Buenos Aires, Chubut, Entre Ríos, La Pampa, Neuquén, Río Negro, Santa Cruz y Tierra del Fuego, Antártida e Islas del Atlántico Sur ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Olga Cossettini 731 Piso 2 Ciudad Autónoma de Benos Aires;;;;11;4319-5100;4319-5199;;;;;;
Suiza;CH;Agencia Consular Honoraria de SUIZA en San Carlos de Bariloche;Provincia de Río Negro;San Carlos de Bariloche;Rio Negro;c/o Casita Suiza - Quaglia 342 MOMENTANEAMENTE CERRADA.;;;;2944;426-111;423-775;;;;;;
Suiza;CH;Consulado de SUIZA en Córdoba;  Provincia de Córdoba  ;Córdoba;Córdoba;Bolivar 387 Barrio Centro Córdoba;cordoba@honrep.ch;;;351;428-0671;;;;;;;
Suiza;CH;Consulado de SUIZA en Ruiz de Montoya;   Los Departamentos de la Provincia de Misiones de: Libertador Gral. San Martín, Cainguas, 25 de Mayo, San Ignacio, Oberá, Candelaria, Leandro N. Alem, San Javier, Apóstoles, Concepción y Capital   ;Ruiz de Montoya;Misiones;c/o Instituto Línea Cuchilla;misiones@honrep.ch;;;3743;495-015;495-076;;;;;;
Suiza;CH;Consulado Honorario  de SUIZA en Rosario; Provincia de Santa Fe ;Rosario;Santa Fe;Balcarce 225 1º Piso - Rosario - Santa Fé;rosario@honrep.ch;;;341;425-0193;425-7038;;;;;;
Suiza;CH;Embajada de SUIZA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fe 846- Piso 12;bue.vertretung@eda.admin.ch;www.eda.admin.ch/buenosaires;;11;4311-6491;4313-2998;;;;;;
Tailandia;TH;Embajada de TAILANDIA;              ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Vuelta de Obligado 1947 12°piso//Manuela Saenz 323 5º Of. 7/8 C.A.B.A.;thaiembargen@fibertel.com.ar;www.thaiembargen.org;;11;4780-0555 / 4783-6412//5272-0572/0573/0574;4782-1616;;;;;;
Tailandia;TH;Sección Consular de TAILANDIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Vuelta de Obligado 1947 - Piso 12;thaiembargen@fibertel.com.ar;;;11;4780-0555//4783-6412;4782-1616;;;;;;
Túnez;TN;Embajada de TÚNEZ;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Ciudad de la Paz 3086;atbuenosaires@infovia.com.ar;;;11;4544-2618;4545-6369;;;;;;
Turquía;TR;Embajada de TURQUÍA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;11 de Septiembre 1382;embajada.buenosaires@mfa.gov.tr;;;11;4788-3239//4788-5106;4784-9179;;;;;;
Ucrania;UA;Consulado Honorario  de UCRANIA en Oberá;;Oberá;Misiones;Gobernador Barreiro 730;conucramis@arnet.com.ar;;;3755;409-326;;;;;;;
Ucrania;UA;Consulado Honorario  de UCRANIA en Resistencia ; Chaco y Formosa ;Resistencia;Chaco;;;;;362;;;;;;;;
Ucrania;UA;Embajada de UCRANIA;            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Olleros 2169;emb_ar@mfa.gov.ua;http://www.mfa.gov.ua/argentina;;11;4775-3476;4775-3476 (Despues del 5to. tono);;;;;;
Ucrania;UA;Sección Consular de UCRANIA en Ciudad Autónoma de Buenos Aires;   Todo el territorio de la República Argentina   ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Conde 1769;;;;11;4552-0657//4552-5334//15-6199-9414;4552-6771//4773-6137;;;;;;
Uganda;UG;Consulado Honorario  de UGANDA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Billinghurst 2514 Piso 6° B;ugandaconsulbue@yahoo.com;;;11;011-15-4404-4656;;;;;;;
Unión Europea;UE;Embajada de la UNIÓN EUROPEA;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Ayacucho 1537;delegation-argentina@eeas.europa.eu;http://eeas.europa.eu/delegations/argentina;;11;4805-3759;4801-1594;;;;;;
Uruguay;UY;Consulado de Districto de URUGUAY en Concordia;    ;Concordia;Entre Rios;"Pellegrini 709 - Piso 1º ""C""";conorucon@arnet.com.ar;;;345;421-0380;421-0380;;;;;;
Uruguay;UY;Consulado de Distrito de URUGUAY en Colón;    ;Colón;Entre Rios;San Martín 417;crou@ciudad.com.ar;;;3447;421-999;422-825;;;;;;
Uruguay;UY;Consulado de Distrito de URUGUAY en Gualeguaychú;    ;Gualeguaychú;Entre Rios;Rivadavia 510;conuruguale@entrerios.com.ar;;;3446;430856;433-828;;;;;;
Uruguay;UY;Consulado General de URUGUAY en Ciudad Autónoma de Buenos Aires;     Buenos Aires, Capital Federal, Provincia de Buenos Aires,  Provincias de La Pampa, Provincia de Chubut, Provincia de Neuquen, Provincia de Santa Cruz, Provincia de Tierra del Fuego, Islas del Atlántico Sur, Antártida Argentina. Asimismo el Consulado tiene jurisdicción sobre el Aeropuerto Internacional de Ezeiza y Aeroparque (Jorge Newbery) y sobre los siguientes puertos, comprendidos dentro de un radio de 60 Kmts.: Puerto de Bs. As., Puerto de San Isidro, Puerto de La Plata, Puerto Roca, Puerto de San Fernando, Puerto de Tigre.     ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Paraguay 1567/1571;cgbuenosaires@mrree.gub.uy//cdbuenosaires@mrree.gub.uy;;;11;6009-5040//6009-5070//15 3629-9282;;;;;;;
Uruguay;UY;Consulado General de URUGUAY en Córdoba;Norte: Provincias de Santiago del Estero, Catamarca, La Rioja, San Juan, Córdoba, San Luis, Mendoza y Tucumán;Córdoba;Córdoba;San Jeronimo 167 Piso 7º A;conourucor@arnet.com.ar;;;351;424-1028//422-5058;;;;;;;
Uruguay;UY;Consulado General de URUGUAY en Rosario;Provincias de Formosa, Salta, Jujuy, Chaco, Misiones, Corrientes, Santa Fe, y Entre Ríos;Rosario;Santa Fe;"Rioja 1037 - Piso 2º ""A""";;;;341;424-6860//421-9077;449-4098;;;;;;
Uruguay;UY;Consulado Honorario de Distrito en URUGUAY de Neuquén;Provincias de Neuquén y Río Negro;Neuquén;Neuquen;Pte. Julio A. Roca 1330;;;;299;442-7079;442-7079;;;;;;
Uruguay;UY;Consulado Honorario de URUGUAY en Mendoza;   Provincias de Santiago del Estero, Catamarca, La Rioja, San Juan, San Luis, Mendoza y Tucumán   ;Mendoza;Mendoza;Ituzaingo 1422;conurumen@hotmail.com;;;261;425-9877;;;;;;;
Uruguay;UY;Embajada de URUGUAY;                  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Arenales N° 1392;uruargentina@mrree.gub.uy;;;11;6009-4020;6009-4080;;;;;;
Venezuela;VE;Consulado General de VENEZUELA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Virrey Loreto 2035;embaven@arnet.com.ar;http://www.la-embajada.com.ar/;;11;4788-4944;4129-0823/0824;;;;;;
Venezuela;VE;Embajada de VENEZUELA;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Luis María Campos 170;despacho.argentina@mppre.gob.ve;http://argentina.embajada.gob.ve;;11;4129-0800//63921135;4129-0823;;;;;;
Vietnam;VN;Embajada de VIETNAM;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;11 de Septiembre 1442;atn.sqvn@gmail.com//;;;11;4783-1425//4783-1802;4782-0078;;;;;;
Vietnam;VN;Sección Consular de VIETNAM en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;11 de Septiembre 1442;;;;11;4783-1802//4783-1425;4782-0078;;;;;;
